id,Booking_status,Probability
42100,0,0.08879586
42101,0,0.025008019
42102,0,0.24484146
42103,0,0.24003954
42104,1,0.5052195
42105,1,0.5315399
42106,1,0.55556005
42107,1,0.69889647
42108,0,4.6077172e-08
42109,0,0.48257187
42110,1,0.68546176
42111,0,0.27509528
42112,0,0.4283781
42113,0,0.1583838
42114,0,0.27320004
42115,1,0.8054489
42116,0,0.039480153
42117,0,0.2746379
42118,1,0.8487279
42119,1,0.8277315
42120,1,0.8629789
42121,0,0.15367389
42122,0,0.007951035
42123,1,0.55327004
42124,1,0.7432841
42125,0,0.0014130366
42126,0,1.2595953e-35
42127,0,0.010138085
42128,0,0.2028484
42129,1,0.7766406
42130,1,0.8366624
42131,1,0.5508884
42132,0,0.35617152
42133,1,0.95593524
42134,0,0.43369082
42135,0,2.9974304e-15
42136,0,0.04122168
42137,0,0.47225273
42138,1,0.5840205
42139,1,0.8038432
42140,0,0.0037413398
42141,0,0.28035268
42142,1,0.67272586
42143,1,0.8441242
42144,0,0.083074205
42145,1,0.8052398
42146,0,0.053375732
42147,1,0.8602005
42148,1,0.61269695
42149,0,0.42056817
42150,0,0.32793048
42151,1,0.69943476
42152,1,0.74715465
42153,0,0.12406432
42154,1,0.54492044
42155,0,0.46268484
42156,0,0.46728143
42157,0,0.034596775
42158,0,0.2915146
42159,1,0.78360856
42160,1,0.6691315
42161,0,5.142605e-07
42162,0,0.04845417
42163,0,0.025022741
42164,1,0.8153361
42165,0,0.36583188
42166,1,0.77483666
42167,0,2.6405784e-09
42168,1,0.7026728
42169,0,0.46861202
42170,0,0.017280081
42171,0,0.067887105
42172,0,0.3906656
42173,1,0.8347203
42174,0,0.12691654
42175,0,0.26832
42176,1,0.87258273
42177,0,0.21110412
42178,0,0.043272194
42179,1,0.8357879
42180,1,0.66310745
42181,0,0.48594514
42182,1,0.62913156
42183,0,0.4794817
42184,0,0.09705314
42185,0,0.20155953
42186,0,0.21393456
42187,0,0.36021394
42188,0,0.027717456
42189,0,0.13836958
42190,0,0.338919
42191,0,0.33216238
42192,0,0.31924996
42193,0,0.31972337
42194,0,0.32413062
42195,1,0.8729223
42196,1,0.83030945
42197,0,0.4440065
42198,1,0.62808645
42199,0,0.46511284
42200,1,0.5731054
42201,1,0.62238383
42202,1,0.5220706
42203,0,0.22036053
42204,1,0.73304003
42205,0,0.24214177
42206,0,0.011676793
42207,1,0.73158514
42208,0,0.0343845
42209,0,0.364529
42210,0,0.2777099
42211,0,0.28256977
42212,0,0.31627697
42213,1,0.78392965
42214,1,0.6675269
42215,0,0.44416276
42216,1,0.59432256
42217,0,0.17688902
42218,0,0.020322204
42219,0,0.13273351
42220,0,0.45489538
42221,1,0.6630071
42222,0,0.45085183
42223,0,0.16110352
42224,1,0.8714484
42225,1,0.7162355
42226,1,0.83521795
42227,0,0.047531545
42228,0,0.49741334
42229,0,0.10181179
42230,0,0.33221272
42231,1,0.7003821
42232,1,0.8782539
42233,0,0.077011324
42234,1,0.87723434
42235,0,0.16566658
42236,0,0.057112288
42237,1,0.7384475
42238,0,0.19921342
42239,0,0.089720525
42240,1,0.8873
42241,0,0.4982169
42242,0,0.1233264
42243,1,0.88966787
42244,0,0.25633368
42245,1,0.62614465
42246,1,0.8767564
42247,1,0.79023176
42248,0,0.41752344
42249,1,0.8364429
42250,0,0.4490546
42251,0,0.22240493
42252,1,0.7535557
42253,1,0.6864718
42254,0,0.08864744
42255,0,0.11163235
42256,1,0.62728846
42257,1,0.6209114
42258,0,0.2958405
42259,1,0.7403669
42260,1,0.7298966
42261,1,0.672376
42262,1,0.8094592
42263,1,0.9184649
42264,0,0.078431986
42265,1,0.7558315
42266,0,0.024668815
42267,0,0.22622037
42268,1,0.77742934
42269,0,0.098813005
42270,1,0.8435479
42271,1,0.75483584
42272,0,0.09428443
42273,0,0.116920814
42274,1,0.84489095
42275,0,0.30497125
42276,0,0.1674993
42277,0,0.07174831
42278,0,0.040431153
42279,0,0.26796106
42280,0,0.3022016
42281,0,0.001415316
42282,1,0.51150644
42283,0,0.08449836
42284,0,0.47261867
42285,0,0.04968325
42286,0,0.08218049
42287,1,0.6975081
42288,0,0.3738439
42289,1,0.6080771
42290,0,0.03003222
42291,1,0.8491263
42292,0,0.069130145
42293,1,0.7667105
42294,1,0.96334934
42295,0,0.22859587
42296,0,0.04827439
42297,0,0.24100693
42298,0,0.0706175
42299,1,0.7838436
42300,0,0.18002619
42301,0,0.44859946
